Operation Operand   Result
Add        223       1
Add        632       2
Add        335       3
Add        488       4
Add        955       5
Add        732       6
Add        4         7
Add        173       8
Contains   955       9
Add        351       10
Add        185       11
Add        975       12
Add        879       13
Add        118       14
Add        136       15
Add        867       16
Add        996       17
Add        629       18
Contains   955       19
Contains   3         19
Add        99        20
Add        45        21
Add        658       22
Add        444       23
Add        19        24
Add        562       25
Remove     867       26
Add        668       27
Contains   5         27
Add        491       28
Add        240       29
Add        90        30
Add        657       31
Add        440       32
Remove     879       33
Add        995       34
Add        983       35
Add        703       36
Contains   90        37
Remove     99        38
Remove     351       39
Add        166       40
Add        786       41
Add        392       42
Add        576       43
Contains   35        43
Add        470       44
Add        984       45
Contains   27        45
Add        902       46
Add        344       47
Add        417       48
Add        63        49
Add        911       50
Add        924       51
Contains   5         51
Contains   23        51
Add        740       52
Add        387       53
Add        354       54
Contains   185       55
Add        493       56
Add        118       56
Add        820       57
Add        485       58
Add        450       59
Contains   902       60
Add        60        61
Add        116       62
Add        333       63
Add        912       64
Contains   333       65
Add        825       66
Add        524       67
Contains   562       68
Contains   11        68
Add        731       69
Add        666       70
Add        660       71
Add        480       72
Add        645       73
Add        248       74
Contains   223       75
Remove     450       76
Add        63        76
Add        628       77
Add        731       77
Add        547       78
Add        260       79
Add        353       80
Add        315       81
Add        203       82
Add        573       83
Add        50        84
Contains   902       85
Add        380       86
Add        915       87
Add        173       87
Contains   392       88
Add        917       89
Contains   37        89
Add        551       90
Add        219       91
Add        395       92
Add        87        93
Contains   63        94
Add        702       95
Add        889       96
Add        946       97
Contains   31        97
Add        695       98
Contains   69        98
Add        222       99
Add        641       100
Add        208       101
Add        567       102
Add        171       103
Contains   17        103
Add        391       104
Add        839       105
Add        480       105
Contains   61        105
Contains   47        105
Contains   955       106
Contains   629       107
Add        172       108
Add        789       109
Contains   983       110
Add        561       111
Add        563       112
Add        210       113
Add        584       114
Add        387       114
Add        199       115
Add        78        116
Add        702       116
Contains   395       117
Add        213       118
Contains   668       119
Contains   65        119
Add        203       119
Add        241       120
Contains   820       121
Add        915       121
Add        812       122
Contains   49        122
Add        537       123
Add        201       124
Contains   240       125
Add        516       126
Contains   118       127
Add        999       128
Add        585       129
Contains   4         130
Contains   975       131
Add        987       132
Add        696       133
Add        89        134
Add        418       135
Add        885       136
Contains   984       137
Add        415       138
Add        17        139
Add        603       140
Add        832       141
Add        981       142
Contains   121       142
Contains   121       142
Contains   241       143
Add        225       144
Add        567       144
Add        587       145
Add        475       146
Add        75        147
Remove     641       148
Add        3         149
Add        309       150
Add        607       151
Add        385       152
Add        172       152
Add        215       153
Add        234       154
Add        665       155
Add        328       156
Contains   73        156
Add        722       157
Add        846       158
Add        758       159
Add        180       160
Add        396       161
Contains   34        161
Add        234       161
Add        481       162
Add        390       163
Contains   380       164
Add        909       165
Add        849       166
Add        258       167
Add        500       168
Add        507       169
Contains   387       170
Add        774       171
Remove     222       172
Add        697       173
Add        387       173
Add        293       174
Add        136       174
Add        195       175
Add        194       176
Add        84        177
Contains   603       178
Add        97        179
Add        670       180
Add        19        180
Add        703       180
Contains   36        180
Add        509       181
Add        148       182
Add        755       183
Add        949       184
Add        796       185
Add        541       186
Add        169       187
Contains   629       188
Add        912       188
Add        45        188
Contains   91        188
Contains   103       188
Add        958       189
Add        251       190
Add        880       191
Add        465       192
Contains   210       193
Add        229       194
Remove     172       195
Add        782       196
Remove     912       197
Add        93        198
Remove     547       199
Add        749       200
Contains   1         200
Contains   118       201
Add        405       202
Add        872       203
Add        991       204
Add        257       205
Add        426       206
Add        776       207
Add        448       208
Contains   561       209
Add        19        209
Contains   97        210
Add        232       211
Add        387       211
Add        575       212
Contains   154       212
Add        714       213
Add        399       214
Add        654       215
Add        420       216
Add        521       217
Contains   909       218
Add        579       219
Add        397       220
Add        208       220
Add        403       221
Add        876       222
Contains   104       222
Add        84        222
Contains   731       223
Add        160       224
Contains   351       224
Add        607       224
Add        717       225
Add        939       226
Add        674       227
Add        737       228
Add        24        229
Add        10        230
Add        47        231
Contains   909       232
Add        581       233
Add        684       234
Add        157       235
Remove     87        236
Contains   485       237
Add        401       238
Contains   187       238
Contains   139       238
Add        321       239
Add        195       239
Add        114       240
Add        947       241
Contains   115       241
Add        279       242
Add        731       242
Add        185       242
Add        984       242
Add        924       242
Add        530       243
Contains   90        244
Add        175       245
Add        100       246
Add        481       246
Contains   175       247
Contains   43        247
Add        898       248
Add        891       249
Add        282       250
Add        994       251
Add        7         252
Add        408       253
Add        821       254
Add        357       255
Add        68        256
Add        555       257
Contains   175       258
Add        30        259
Add        129       260
Add        805       261
Add        125       262
Contains   426       263
Add        53        264
Add        515       265
Add        901       266
Add        163       267
Add        252       268
Contains   607       269
Add        62        270
Add        44        271
Add        548       272
Add        769       273
Contains   191       273
Add        164       274
Add        16        275
Add        322       276
Add        147       277
Add        132       278
Add        736       279
Add        829       280
Add        32        281
Add        253       282
Remove     234       283
Add        588       284
Add        630       285
Add        614       286
Add        404       287
Add        96        288
Add        239       289
Add        7         289
Contains   22        289
Add        825       289
Contains   207       289
Remove     805       290
Add        121       291
Contains   670       292
Add        153       293
Add        306       294
Add        424       295
Add        437       296
Add        769       296
Add        638       297
Contains   758       298
Add        81        299
Add        857       300
Remove     984       301
Add        21        302
Add        365       303
Contains   5         303
Contains   328       304
Add        506       305
Add        589       306
Add        215       306
Add        182       307
Add        984       308
Add        150       309
Add        357       309
Add        400       310
Add        604       311
Add        291       312
Add        764       313
Add        377       314
Add        798       315
Add        500       315
Add        674       315
Add        307       316
Add        999       316
Add        429       317
Add        271       318
Add        737       318
Add        323       319
Add        36        320
Add        835       321
Add        121       321
Add        764       321
Add        727       322
Contains   493       323
Add        227       324
Add        858       325
Remove     21        326
Contains   17        327
Add        554       328
Add        763       329
Contains   194       330
Add        447       331
Add        785       332
Remove     567       333
Add        214       334
Add        197       335
Contains   77        335
Add        228       336
Contains   24        337
Add        5         338
Add        664       339
Add        123       340
Contains   169       341
Add        952       342
Add        712       343
Add        940       344
Add        675       345
Add        382       346
Add        73        347
Add        518       348
Add        813       349
Add        276       350
Contains   25        350
Add        653       351
Add        77        352
Add        948       353
Add        101       354
Add        241       354
Add        613       355
Contains   731       356
Add        300       357
Add        567       358
Remove     62        359
Add        192       360
Contains   666       361
Contains   396       362
Add        357       362
Add        245       363
Add        229       363
Add        557       364
Add        5         364
Add        325       365
Add        5         365
Contains   195       366
Contains   946       367
Add        623       368
Add        609       369
Remove     996       370
Add        955       370
Contains   189       370
Contains   113       370
Add        575       370
Add        15        371
Add        200       372
Contains   947       373
Contains   201       374
Add        899       375
Add        580       376
Add        559       377
Add        436       378
Add        627       379
Add        23        380
Add        528       381
Add        574       382
Contains   674       383
Add        723       384
Contains   448       385
Add        285       386
Add        247       387
Add        219       387
Contains   269       387
Contains   241       388
Add        808       389
Add        187       390
Add        296       391
Remove     714       392
Contains   268       392
Add        498       393
Add        191       394
Add        50        394
Contains   67        394
Add        68        394
Add        212       395
Add        219       395
Contains   368       395
Add        880       395
Add        179       396
Contains   222       396
Add        732       396
Add        656       397
Add        49        398
Add        726       399
Remove     408       400
Add        992       401
Remove     518       402
Add        595       403
Add        139       404
Add        618       405
Contains   872       406
Add        507       406
Add        296       406
Add        787       407
Add        91        408
Add        161       409
Add        966       410
Add        844       411
Add        266       412
Add        216       413
Add        252       413
Add        894       414
Remove     607       415
Add        133       416
Contains   89        417
Add        902       417
Add        985       418
Contains   122       418
Add        167       419
Add        701       420
Add        822       421
Add        496       422
Add        801       423
Add        967       424
Add        390       424
Add        16        424
Add        472       425
Add        230       426
Add        604       426
Add        41        427
Add        666       427
Contains   731       428
Contains   812       429
Contains   225       430
Add        130       431
Add        902       431
Add        495       432
Contains   101       433
Contains   116       434
Add        790       435
Add        478       436
Contains   697       437
Add        52        438
Add        531       439
Add        627       439
Add        449       440
Contains   351       440
Add        421       441
Add        295       442
Contains   80        442
Add        817       443
